No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
1,bmg2024bxaz,2024-01-27T20:09:58.902514Z,-7.187849522,107.6360245,2.264447229,MLv,9,19,82.74404526,Java, Indonesia,BMKG
2,bmg2024bupd,2024-01-26T11:54:12.26408Z,-7.145415782928467,107.75772094726562,2.3773303088314246,MLv,10,21,65.89476013183594,Java, Indonesia,BMKG
3,bmg2024bucw,2024-01-26T05:42:41.390707Z,-6.74016571,106.5330811,2.213904168,MLv,10,21,68.15362549,Java, Indonesia,BMKG
4,bmg2024bubs,2024-01-26T05:06:51.070213Z,-5.875364304,105.932045,2.84160752,MLv,190,32,172.0245285,Sunda Strait, Indonesia,BMKG
5,bmg2024btuu,2024-01-26T01:37:43.757451Z,-6.725943565,106.53479,2.499324672,MLv,11,25,66.32613373,Java, Indonesia,BMKG
6,bmg2024brmj,2024-01-24T19:05:26.389959Z,-7.063717365,107.0816727,2.079033354,M,10,18,75.55448914,Java, Indonesia,BMKG
7,bmg2024bkio,2024-01-20T21:13:11.295781Z,-7.015955448,105.3581772,3.099883092,MLv,11,35,222.8805084,Java, Indonesia,BMKG
8,bmg2024bgrq,2024-01-18T21:15:34.670534Z,-6.725470543,106.5393906,2.319893943,MLv,10,17,102.1147537,Java, Indonesia,BMKG
9,bmg2024bbgt,2024-01-15T22:04:27.196703Z,-6.743562222,106.5507965,3.128122281,MLv,10,54,68.60368347,Java, Indonesia,BMKG
10,bmg2024axrj,2024-01-13T22:54:13.074598Z,-6.742434025,106.561264,2.921200057,MLv,10,33,68.09288025,Java, Indonesia,BMKG
11,bmg2024axpv,2024-01-13T22:07:52.002001Z,-6.735063076,106.5578384,2.903638875,MLv,10,41,66.66975403,Java, Indonesia,BMKG
12,bmg2024axmb,2024-01-13T20:13:36.868465Z,-6.748921871,106.5411301,3.557685253,MLv,10,49,70.01626587,Java, Indonesia,BMKG
13,bmg2024asql,2024-01-11T04:45:04.24438Z,-6.967778206,105.4295425,3.171137648,M,23,40,217.8510895,Sunda Strait, Indonesia,BMKG
14,bmg2024arlv,2024-01-10T13:17:25.627327Z,-6.828608036,107.9364777,2.889399731,M,10,40,88.90986252,Java, Indonesia,BMKG
15,bmg2024arfv,2024-01-10T10:15:19.910836Z,-6.703187466,106.5735855,2.363176594,M,18,14,90.4757843,Java, Indonesia,BMKG
16,bmg2024anil,2024-01-08T07:02:02.016806Z,-6.836732388,107.9599915,3.001512113,M,5,24,82.29764938,Java, Indonesia,BMKG
17,bmg2024angb,2024-01-08T05:50:14.50164Z,-6.809510231,107.9322357,2.622187681,MLv,12,23,105.7732658,Java, Indonesia,BMKG
18,bmg2024amtg,2024-01-07T23:21:24.287198Z,-7.060954571,105.3399353,3.551724324,MLv,10,42,225.6590271,Java, Indonesia,BMKG
19,bmg2024aijw,2024-01-05T14:04:48.052806Z,-6.725165367,106.5477142,2.777174687,MLv,10,26,105.1864777,Java, Indonesia,BMKG
20,bmg2024agfc,2024-01-04T09:23:58.752541Z,-6.803332329,107.9305191,2.347388139,MLv,15,19,100.839241,Java, Indonesia,BMKG
21,bmg2024agfb,2024-01-04T09:22:10.029838Z,-6.813941956,107.8849258,2.616228523,MLv,13,19,85.11762619,Java, Indonesia,BMKG
22,bmg2024agds,2024-01-04T08:41:51.95663Z,-6.810324669,107.945694,2.409083895,MLv,15,13,128.6725769,Java, Indonesia,BMKG
23,bmg2024afna,2024-01-04T00:15:49.921726Z,-7.223891735,107.6998672,3.186007088,MLv,10,54,69.68640137,Java, Indonesia,BMKG
24,bmg2024afkb,2024-01-03T22:44:29.094759Z,-7.148950577,105.5665054,3.140824367,MLv,14,16,250.8748779,Java, Indonesia,BMKG
25,bmg2024afbt,2024-01-03T18:33:34.660401Z,-6.825537682,107.9263992,2.397830938,M,15,17,88.82609177,Java, Indonesia,BMKG
26,bmg2024aehz,2024-01-03T08:34:31.659303Z,-6.75933218,107.941185,2.481294307,MLv,10,17,120.568306,Java, Indonesia,BMKG
27,bmg2024aegw,2024-01-03T08:00:25.185068Z,-6.486607075,106.0816727,3.309792146,MLv,128,35,81.97626781,Java, Indonesia,BMKG
28,bmg2024adis,2024-01-02T19:49:01.84659Z,-6.722068787,106.597168,2.093335147,MLv,15,19,116.3896484,Java, Indonesia,BMKG
29,bmg2024adgn,2024-01-02T18:42:09.166867Z,-6.792029381,107.9348831,2.370620813,MLv,10,19,104.0245056,Java, Indonesia,BMKG
30,bmg2024ackn,2024-01-02T07:35:23.400979Z,-6.794177055,107.9475403,2.733695219,MLv,10,33,101.8378754,Java, Indonesia,BMKG
31,bmg2024abbh,2024-01-01T13:46:48.334148Z,-6.814092159,107.9256668,4.501647536,MLv,7,80,93.30429077,Java, Indonesia,BMKG
32,bmg2024aaby,2024-01-01T00:59:21.802812Z,-6.966860771,107.1809235,3.887959258,MLv,163,77,51.86782837,Java, Indonesia,BMKG
33,bmg2024ecyp,2024-02-28T12:50:04.431555Z,-6.855815410614014,106.90914154052734,2.0085676213895187,M,38,11,83.16807556152344,Java, Indonesia,BMKG
