No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
1,bmg2024ccoi,2024-01-30T20:34:33.923011Z,-3.258631468,122.3500366,3.110292038,MLv,5,30,120.6150064,"Sulawesi, Indonesia",BMKG
2,bmg2024ccog,2024-01-30T20:32:13.062021Z,-1.354332089,120.3999176,2.179322035,MLv,5,30,60.2598772,"Sulawesi, Indonesia",BMKG
3,bmg2024cbgw,2024-01-30T03:40:31.556893Z,-0.08765026182,123.3508987,3.456106865,MLv,127,33,80.17070007,"Minahassa Peninsula, Sulawesi",BMKG
4,bmg2024cbfe,2024-01-30T02:49:40.824121Z,-1.624863029,120.3641357,3.225944211,MLv,10,36,46.09989452,"Sulawesi, Indonesia",BMKG
5,bmg2024cbeb,2024-01-30T02:15:54.412088Z,-1.099797726,120.3341599,2.710462222,MLv,10,19,85.11128998,"Sulawesi, Indonesia",BMKG
6,bmg2024cbcy,2024-01-30T01:41:11.911334Z,-0.1984299123,121.4939499,3.096624709,MLv,10,26,66.56954193,"Minahassa Peninsula, Sulawesi",BMKG
7,bmg2024cagi,2024-01-29T14:15:57.598201Z,1.215138555,120.9852829,3.440599404,MLv,10,44,135.8346481,"Minahassa Peninsula, Sulawesi",BMKG
8,bmg2024bzmh,2024-01-29T04:08:31.52496Z,-4.092059135,122.3450623,2.459725954,MLv,31,8,93.99378204,"Sulawesi, Indonesia",BMKG
9,bmg2024bzkb,2024-01-29T03:01:10.088819Z,-1.541296959,120.1106491,3.098862131,MLv,10,34,67.16304016,"Sulawesi, Indonesia",BMKG
10,bmg2024bzhi,2024-01-29T01:38:08.211687Z,0.1903678477,122.5102158,2.886910239,MLv,139,29,57.53701019,"Minahassa Peninsula, Sulawesi",BMKG
11,bmg2024bzaa,2024-01-28T21:56:22.619131Z,-2.514270306,121.2720642,2.860982129,MLv,10,28,57.20159912,"Sulawesi, Indonesia",BMKG
12,bmg2024byzr,2024-01-28T21:46:41.015419Z,-1.43897748,121.219696,2.65860757,M,10,25,92.5487175,"Sulawesi, Indonesia",BMKG
13,bmg2024bxxu,2024-01-28T07:41:13.331671Z,1.619527102,123.5749207,4.263983668,MLv,5,47,91.67865562,"Minahassa Peninsula, Sulawesi",BMKG
