kecamata,kel_desa,kab_kota,provinsi,nilai_simulasi
Gondokusuman,Kelurahan Baciro,Kota Yogyakarta,Daerah Istimewa Yogyakarta,96
Danurejan,Kelurahan Bausasran,Kota Yogyakarta,Daerah Istimewa Yogyakarta,79
Tegalrejo,Kelurahan Bener,Kota Yogyakarta,Daerah Istimewa Yogyakarta,33
Mergangsan ,Kelurahan Brontokusuman,Kota Yogyakarta,Daerah Istimewa Yogyakarta,52
Jetis,Kelurahan Bumijo,Kota Yogyakarta,Daerah Istimewa Yogyakarta,88
Jetis,Kelurahan Cokrodiningratan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,38
Gondokusuman,Kelurahan Demangan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,52
Mantrijeron,Kelurahan Gedongkiwo,Kota Yogyakarta,Daerah Istimewa Yogyakarta,84
Umbulharjo,Kelurahan Giwangan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,84
Jetis,Kelurahan Gowongan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,51
Pakualaman,Kelurahan Gunungketur,Kota Yogyakarta,Daerah Istimewa Yogyakarta,87
Kraton,Kelurahan Kadipaten,Kota Yogyakarta,Daerah Istimewa Yogyakarta,86
Tegalrejo,Kelurahan Karangwaru,Kota Yogyakarta,Daerah Istimewa Yogyakarta,93
Mergangsan,Kelurahan Keparakan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,32
Gondokusuman,Kelurahan Klitren,Kota Yogyakarta,Daerah Istimewa Yogyakarta,87
Gondokusuman,Kelurahan Kotabaru,Kota Yogyakarta,Daerah Istimewa Yogyakarta,47
Tegalrejo,Kelurahan Kricak,Kota Yogyakarta,Daerah Istimewa Yogyakarta,81
Mantrijeron,Kelurahan Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,56
Umbulharjo,Kelurahan Muja Muju,Kota Yogyakarta,Daerah Istimewa Yogyakarta,53
Ngampilan,Kelurahan Ngampilan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,51
Gondomanan,Kelurahan Ngupasan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,43
Ngampilan,Kelurahan Notoprajan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,56
Wirobrajan,Kelurahan Pakuncen,Kota Yogyakarta,Daerah Istimewa Yogyakarta,37
Umbulharjo,Kelurahan Pandeyan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,40
Kraton,Kelurahan Panembahan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,79
Wirobrajan,Kelurahan Patangpuluhan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,97
Kraton,Kelurahan Patehan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,66
Gondomanan,Kelurahan Prawirodirjan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,48
Kotagede,Kelurahan Prenggan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,68
Gedongtengen,Kelurahan Pringgokusuman,Kota Yogyakarta,Daerah Istimewa Yogyakarta,35
Kotagede,Kelurahan Purbayan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,37
Pakualaman,Kelurahan Purwokinanti,Kota Yogyakarta,Daerah Istimewa Yogyakarta,38
Kotagede,Kelurahan Rejowinangun,Kota Yogyakarta,Daerah Istimewa Yogyakarta,58
Umbulharjo,Kelurahan Semaki,Kota Yogyakarta,Daerah Istimewa Yogyakarta,92
Umbulharjo,Kelurahan Sorosutan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,90
Gedongtengen,Kelurahan Sosromenduran,Kota Yogyakarta,Daerah Istimewa Yogyakarta,23
Danurejan,Kelurahan Suryatmajan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,36
Mantrijeron,Kelurahan Suryodiningratan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,79
Umbulharjo,Kelurahan Tahunan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,31
Danurejon,Kelurahan Tegalpanggung,Kota Yogyakarta,Daerah Istimewa Yogyakarta,100
Tegalrejo,Kelurahan Tegalrejo,Kota Yogyakarta,Daerah Istimewa Yogyakarta,26
Gondokusuman,Kelurahan Terban,Kota Yogyakarta,Daerah Istimewa Yogyakarta,67
Umbulharjo,Kelurahan Warungboto,Kota Yogyakarta,Daerah Istimewa Yogyakarta,69
Wirobrajan,Kelurahan Wirobrajan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,53
Mergangsan,Kelurahan Wirogunan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,22
