rand_point,n_penduduk,n_sekolah,n_rumah
159,10772,26,362
79,11175,41,156
48,12159,11,143
71,16701,25,353
2,13385,18,317
6,11974,43,484
189,15314,25,121
24,12142,32,116
101,19294,31,185
141,12591,22,182
29,11438,15,107
25,13674,32,447
167,14948,10,304
110,12286,50,312
150,12701,44,307
112,14400,22,198
190,13308,21,127
34,18366,49,227
39,11766,40,101
140,11300,35,236
125,10418,19,139
88,16085,38,414
127,16733,23,273
86,14198,26,322
122,10020,20,202
166,10695,26,446
114,15915,45,317
138,11429,28,189
55,16489,41,445
96,19854,30,455
118,19110,46,458
38,17582,20,113
186,18005,48,473
157,18257,43,317
11,17455,25,165
82,16532,29,187
176,15729,33,359
12,18690,19,161
18,18535,37,216
46,14230,14,279
13,15457,33,384
45,13199,43,464
22,10922,46,423
181,11768,33,256
40,18023,43,114
105,19100,41,464
49,11175,13,357
92,17975,47,196
111,16882,34,423
59,12557,50,422
17,12107,15,172
178,12188,26,127
93,19192,29,404
98,13773,45,185
15,17201,40,208
123,18233,34,208
70,13751,31,113
42,13826,22,450
61,12828,30,318
104,16144,26,193
27,12108,27,295
47,14409,36,281
115,19852,49,470
128,13820,19,147
197,11622,11,293
7,14398,50,323
162,15747,18,306
