No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Coun,Azimuth Ga,Location,Agency,field_13,lat,long
1,bmg2024bxaz,2024/01/27 20:09:58.903,-7.187849522000000,107.636024500000005,2.264447229000000,MLv,9,19,82.744045259999993,Java,Indonesia,BMKG,-7.188,108
2,bmg2024bupd,2024/01/26 11:54:12.264,-7.145415782928468,107.757720947265625,2.377330308831425,MLv,10,21,65.894760131835938,Java,Indonesia,BMKG,-7.145,108
3,bmg2024bucw,2024/01/26 05:42:41.391,-6.740165710000000,106.533081100000004,2.213904168000000,MLv,10,21,68.153625489999996,Java,Indonesia,BMKG,-6.740,107
4,bmg2024bubs,2024/01/26 05:06:51.070,-5.875364304000000,105.932045000000002,2.841607520000000,MLv,190,32,172.024528500000002,Sunda Strait,Indonesia,BMKG,-5.875,106
5,bmg2024btuu,2024/01/26 01:37:43.757,-6.725943565000000,106.534790000000001,2.499324672000000,MLv,11,25,66.326133729999995,Java,Indonesia,BMKG,-6.726,107
6,bmg2024brmj,2024/01/24 19:05:26.390,-7.063717365000000,107.081672699999999,2.079033354000000,M,10,18,75.554489140000001,Java,Indonesia,BMKG,-7.064,107
7,bmg2024bkio,2024/01/20 21:13:11.296,-7.015955448000000,105.358177200000000,3.099883092000000,MLv,11,35,222.880508399999997,Java,Indonesia,BMKG,-7.016,105
8,bmg2024bgrq,2024/01/18 21:15:34.671,-6.725470543000000,106.539390600000004,2.319893943000000,MLv,10,17,102.114753699999994,Java,Indonesia,BMKG,-6.725,107
9,bmg2024bbgt,2024/01/15 22:04:27.197,-6.743562222000000,106.550796500000004,3.128122281000000,MLv,10,54,68.603683470000007,Java,Indonesia,BMKG,-6.744,107
10,bmg2024axrj,2024/01/13 22:54:13.075,-6.742434025000000,106.561263999999994,2.921200057000000,MLv,10,33,68.092880249999993,Java,Indonesia,BMKG,-6.742,107
11,bmg2024axpv,2024/01/13 22:07:52.002,-6.735063076000000,106.557838399999994,2.903638875000000,MLv,10,41,66.669754029999993,Java,Indonesia,BMKG,-6.735,107
12,bmg2024axmb,2024/01/13 20:13:36.868,-6.748921871000000,106.541130100000004,3.557685253000000,MLv,10,49,70.016265869999998,Java,Indonesia,BMKG,-6.749,107
