ADM0_EN,date,validOn,PROVINCE,Kabupaten,PRV2,long,lat
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Bangkalan,Jawa_Timur,112.930,-7.044
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Banyuwangi,Jawa_Timur,114.206,-8.365
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Blitar,Jawa_Timur,112.238,-8.130
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Bojonegoro,Jawa_Timur,111.810,-7.255
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Bondowoso,Jawa_Timur,113.948,-7.944
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Gresik,Jawa_Timur,112.558,-6.927
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Jember,Jawa_Timur,113.656,-8.236
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Jombang,Jawa_Timur,112.265,-7.545
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Kediri,Jawa_Timur,112.090,-7.829
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Kota Batu,Jawa_Timur,112.531,-7.833
