ADM0_EN,date,validOn,PROVINCE,Kabupaten,PRV2,long,lat
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Bangkalan,Jawa_Timur,1378494.208,9213869.491
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Banyuwangi,Jawa_Timur,1517748.275,9063386.967
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Blitar,Jawa_Timur,1299438.557,9094148.406
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Bojonegoro,Jawa_Timur,1253467.897,9192338.668
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Bondowoso,Jawa_Timur,1490050.347,9111140.571
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Gresik,Jawa_Timur,1337311.363,9227645.576
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Jember,Jawa_Timur,1456813.531,9079201.430
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Jombang,Jawa_Timur,1303569.392,9159274.495
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Kediri,Jawa_Timur,1283534.899,9127991.930
Indonesia,2019/12/20,2020/04/01,Jawa Timur,Kota Batu,Jawa_Timur,1332584.272,9126662.189
