No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
1,bmg2024ikwk,"2024-04-29T18:57:31,669523Z",1.49198579788208,126.854660034179,3.30095316520286,M,97,29,86.7752075195312,Northern Molucca Sea,BMKG
2,bmg2024ikvw,"2024-04-29T18:42:10,21051Z",-1.65707647800445,120.404022216796,2.34487400820807,M,5,38,41.8267951011657,"Sulawesi, Indonesia",BMKG
3,bmg2024iksy,"2024-04-29T17:12:44,996046Z",2.90651535987854,127.153587341308,3.55073983061208,M,35,23,145.885200500488,Northern Molucca Sea,BMKG
4,bmg2024iksh,"2024-04-29T16:53:03,138073Z",-2.32046794891357,120.816947937011,2.73655169316171,M,10,27,50.1688385009765,"Sulawesi, Indonesia",BMKG
5,bmg2024ikha,"2024-04-29T11:11:50,600314Z",-2.88303709030151,127.782020568847,3.995873046775,M,19,40,127.310119628906,Ceram Sea,BMKG
6,bmg2024ikcq,"2024-04-29T08:59:13,0005Z",-7.08563804626464,129.922058105468,4.49429963847719,M,164,30,77.4896850585937,Banda Sea,BMKG
7,bmg2024ijqy,"2024-04-29T03:03:47,745517Z",1.94470047950744,126.570587158203,4.42625732394559,M,10,53,78.799788236618,Northern Molucca Sea,BMKG
8,bmg2024ijmx,"2024-04-29T01:01:24,069035Z",-3.45805835723876,123.421546936035,3.83546739859947,M,10,42,115.280387878417,"Sulawesi, Indonesia",BMKG
9,bmg2024ijih,"2024-04-28T22:41:41,184236Z",-3.3757779598236,126.941970825195,4.35804456204242,M,10,43,87.9306106567382,"Buru, Indonesia",BMKG
10,bmg2024iilf,"2024-04-28T11:01:57,196146Z",4.49001550674438,124.364509582519,4.36164742011513,M,26,24,112.972076416015,Celebes Sea,BMKG
11,bmg2024iikh,"2024-04-28T10:33:47,053539Z",-2.48660254478454,120.994750976562,3.28450521187228,M,7,23,60.6220512390136,"Sulawesi, Indonesia",BMKG
12,bmg2024iifp,"2024-04-28T08:12:18,280941Z",-2.13190031051635,120.480247497558,3.00043574161347,M,6,19,83.4983520507812,"Sulawesi, Indonesia",BMKG
13,bmg2024iicm,"2024-04-28T06:37:54,709006Z",0.154840916395187,122.560203552246,3.35556429647308,M,250,54,48.6462097167968,"Minahassa Peninsula, Sulawesi",BMKG
14,bmg2024iiam,"2024-04-28T05:37:20,396737Z",4.16794633865356,125.866004943847,4.32241640661487,M,42,36,129.631233215332,"Talaud Islands, Indonesia",BMKG
15,bmg2024ihub,"2024-04-28T02:22:02,171458Z",0.0396238639950752,122.39086151123,2.97755326023416,M,174,43,46.9514007568359,"Minahassa Peninsula, Sulawesi",BMKG
16,bmg2024ihoo,"2024-04-27T23:35:49,774628Z",3.77104949951171,126.762741088867,3.70276043946453,M,16,16,157.383666992187,"Talaud Islands, Indonesia",BMKG
17,bmg2024ihmm,"2024-04-27T22:32:42,254055Z",1.40839481353759,125.770851135253,3.23024291402619,M,50,30,101.233352661132,Northern Molucca Sea,BMKG
18,bmg2024ihlo,"2024-04-27T22:05:12,107367Z",1.17231905460357,126.115577697753,3.08973324875391,M,31,21,127.947952270507,Northern Molucca Sea,BMKG
19,bmg2024ihjd,"2024-04-27T20:51:09,115499Z",-0.264745980501174,122.847908020019,3.59125512353554,M,79,68,57.8444747924804,"Minahassa Peninsula, Sulawesi",BMKG
20,bmg2024iheb,"2024-04-27T18:17:03,21609Z",-0.826481580734252,121.924156188964,2.51504674727639,M,10,36,54.9413795471191,"Minahassa Peninsula, Sulawesi",BMKG
21,bmg2024igwj,"2024-04-27T14:23:50,360676Z",-0.742485761642456,123.074028015136,2.9144323161494,M,10,31,67.2092514038086,"Minahassa Peninsula, Sulawesi",BMKG
22,bmg2024igpe,"2024-04-27T10:46:30,800193Z",-6.45036220550537,130.294128417968,4.85911420548652,Mw(mB),166,169,36.4271545410156,Banda Sea,BMKG
23,bmg2024igkl,"2024-04-27T08:23:10,947762Z",1.08130574226379,126.858184814453,3.14911985963221,M,10,13,166.111892700195,Northern Molucca Sea,BMKG
24,bmg2024igjb,"2024-04-27T07:40:24,537265Z",-0.74394142627716,123.071792602539,4.23844906361809,M,10,29,66.8296890258789,"Minahassa Peninsula, Sulawesi",BMKG
25,bmg2024iggy,"2024-04-27T06:36:57,119452Z",0.952119350433349,126.066665649414,3.82962368849288,M,5,19,99.0656509399414,Northern Molucca Sea,BMKG
26,bmg2024igdz,"2024-04-27T05:07:07,706179Z",0.626782119274139,122.325210571289,4.7099799411498,Mw(mB),91,135,51.787058353424,"Minahassa Peninsula, Sulawesi",BMKG
27,bmg2024igau,"2024-04-27T03:29:52,238066Z",0.41652512550354,126.242431640625,3.38526411185574,M,5,11,165.025161743164,Northern Molucca Sea,BMKG
28,bmg2024ifzw,"2024-04-27T03:02:00,621748Z",0.802510619163513,122.655044555664,3.2405282319795,M,14,9,157.155967712402,"Minahassa Peninsula, Sulawesi",BMKG
29,bmg2024ifnb,"2024-04-26T20:34:10,698189Z",-3.27383279800415,128.382080078125,2.5676867046932,M,5,13,103.543106079101,"Seram, Indonesia",BMKG
30,bmg2024ifii,"2024-04-26T18:10:05,411781Z",-2.96891164779663,128.954193115234,3.81449567172562,M,16,28,43.4661502838134,Ceram Sea,BMKG
31,bmg2024ifed,"2024-04-26T16:02:51,970598Z",-0.305322974920272,122.928771972656,3.57194844652542,M,40,28,82.4372215270996,"Minahassa Peninsula, Sulawesi",BMKG
32,bmg2024ifct,"2024-04-26T15:21:33,714561Z",1.58877992630004,122.292625427246,4.76806929897679,M,26,62,98.2107849121093,"Minahassa Peninsula, Sulawesi",BMKG
33,bmg2024ifbq,"2024-04-26T14:47:46,967437Z",-1.98325073719024,127.664993286132,4.45600693031831,M,12,44,102.538314819335,"Halmahera, Indonesia",BMKG
34,bmg2024iexi,"2024-04-26T12:36:34,135434Z",4.39880657196044,126.535545349121,3.40831414210901,M,22,16,213.934036254882,"Talaud Islands, Indonesia",BMKG
35,bmg2024iesm,"2024-04-26T10:09:32,74866Z",-1.73397147655487,120.124160766601,2.06975027622684,M,8,13,78.9412307739257,"Sulawesi, Indonesia",BMKG
36,bmg2024iesb,"2024-04-26T09:57:10,073666Z",-2.9028627872467,119.41616821289,2.85537242753677,M,2,25,72.1587233543396,"Sulawesi, Indonesia",BMKG
37,bmg2024iepe,"2024-04-26T08:29:37,620652Z",1.49711418151855,126.50089263916,3.49778810029332,M,26,28,80.5829772949218,Northern Molucca Sea,BMKG
38,bmg2024iekc,"2024-04-26T05:55:20,856864Z",0.332428663969039,128.198104858398,2.17393519859516,M,19,9,167.356292724609,"Halmahera, Indonesia",BMKG
39,bmg2024ieio,"2024-04-26T05:09:19,048694Z",3.67931652069091,126.720962524414,3.73775117272597,M,31,17,142.268814086914,"Talaud Islands, Indonesia",BMKG
40,bmg2024iegp,"2024-04-26T04:10:04,080691Z",-0.0296721924096345,122.068199157714,3.21074584002,M,256,44,44.3589324951171,"Minahassa Peninsula, Sulawesi",BMKG
41,bmg2024idzr,"2024-04-26T00:39:55,666906Z",-2.37414789199829,120.8941116333,3.95060033186533,M,1,72,29.4706726074218,"Sulawesi, Indonesia",BMKG
42,bmg2024idxs,"2024-04-25T23:39:05,793811Z",-0.000771466933656483,123.47410583496,2.69954456733342,M,135,18,120.790206909179,"Minahassa Peninsula, Sulawesi",BMKG
43,bmg2024idsr,"2024-04-25T21:07:37,316267Z",-5.69061517715454,130.000930786132,4.39573941114624,M,204,43,94.8456420898437,Banda Sea,BMKG
44,bmg2024iddb,"2024-04-25T13:14:31,630863Z",-3.30568313598632,128.376907348632,3.93025546088153,M,6,39,77.2196807861328,"Seram, Indonesia",BMKG
45,bmg2024icum,"2024-04-25T08:54:47,146426Z",-3.29533338546752,128.436172485351,4.64965394083358,M,1,76,47.3574523925781,"Seram, Indonesia",BMKG
46,bmg2024icqy,"2024-04-25T07:06:39,13854Z",-3.32164597511291,128.371994018554,3.63240998471891,M,8,35,111.382858276367,"Seram, Indonesia",BMKG
47,bmg2024icoe,"2024-04-25T05:42:51,126438Z",1.30654883384704,120.809394836425,3.80801090443729,M,96,30,168.880065917968,"Minahassa Peninsula, Sulawesi",BMKG
48,bmg2024ibyl,"2024-04-24T21:46:05,635634Z",-6.87671709060669,129.651580810546,4.31259358521687,M,111,14,104.969009399414,Banda Sea,BMKG
49,bmg2024ibre,"2024-04-24T18:05:26,532669Z",-2.63235974311828,121.684654235839,2.91024319181604,M,4,44,78.390209197998,"Sulawesi, Indonesia",BMKG
50,bmg2024ibpa,"2024-04-24T17:01:02,612834Z",0.168541550636291,122.5650100708,4.81316931182324,Mw(mB),146,220,37.3835144042968,"Minahassa Peninsula, Sulawesi",BMKG
