"","Beta","Neighbors","RMSE","MSE","MAPE"
"1",0.1,3,6.8889315423176,47.4573777947383,32.8308206767002
"2",0.5,3,6.91992772570982,47.8853997290475,32.9766813236928
"3",1,3,7.01635515830859,49.2292397075235,33.3389610384924
"4",1.5,3,7.14097761517951,50.9935613004949,33.7830345386797
"5",2,3,7.2630427832889,52.7517904718849,34.2303674405441
"6",2.5,3,7.37057972689258,54.3254455104799,34.6213534219746
"7",3,3,7.46201770922209,55.6817082927441,34.9408455327148
"8",0.1,215,6.02892777194757,36.3479700793607,30.2763307559908
"9",0.5,215,6.0257052241508,36.3091234483582,30.2684754096451
"10",1,215,6.03383273669518,36.4071374944145,30.3091965740575
"11",1.5,215,6.13355631795529,37.6205131055293,30.6462359700073
"12",2,215,6.39269522355769,40.8665522212973,31.4731104504363
"13",2.5,215,6.70848682733608,45.0037955125418,32.525053730598
"14",3,215,6.97981263829195,48.7177844656601,33.3976585856276
"15",0.1,428,6.01030278910912,36.1237396167728,30.2579713241057
"16",0.5,428,6.01177217682133,36.1414047060031,30.2537670773293
"17",1,428,6.0202143803108,36.2429811849009,30.28243222006
"18",1.5,428,6.10813868653638,37.3093582139624,30.5784732545869
"19",2,428,6.36786861334353,40.5497506768056,31.3971787781674
"20",2.5,428,6.69553782931834,44.8302268238329,32.4882858502103
"21",3,428,6.97479500681879,48.6477653871443,33.3830856049719
"22",0.1,640,6.00915763650489,36.1099755003651,30.3013285451737
"23",0.5,640,6.01002436386837,36.1203928542914,30.278192546764
"24",1,640,6.01675876291315,36.2013860110921,30.2811237857546
"25",1.5,640,6.09972013521217,37.2065857279127,30.5527066851558
"26",2,640,6.36039971169089,40.4546844924775,31.3713589671353
"27",2.5,640,6.69236558401009,44.7877571100428,32.4780924504882
"28",3,640,6.97384155800008,48.6344660760889,33.3799077415055
"29",0.1,852,6.00545574705803,36.0654987298723,30.188247139847
"30",0.5,852,6.00761320944248,36.0914164742678,30.2053424746052
"31",1,852,6.01472185327016,36.1768789722056,30.247120324473
"32",1.5,852,6.09570430105997,37.157610925961,30.5293831494648
"33",2,852,6.35738693994862,40.4163687042293,31.3585782641498
"34",2.5,852,6.69131520092539,44.7736991181351,32.4741300041671
"35",3,852,6.97358619394842,48.630904404428,33.3789722600138
