rand_point,nilai,lat,long
"0","11",-1.890,100.951
"1","25",-2.423,101.083
"2","28",-2.034,101.009
"3","10",-2.081,100.949
"4","26",-1.280,100.666
"5","28",-1.587,100.996
"6","21",-1.691,101.016
"7","28",-1.248,100.469
"8","17",-2.318,101.233
"9","14",-1.047,100.566
"10","20",-1.401,100.886
"11","25",-1.679,100.901
"12","14",-1.869,101.014
"13","18",-1.133,100.449
"14","20",-2.452,101.035
"15","15",-2.188,101.036
"16","25",-2.348,100.935
"17","22",-2.154,100.916
"18","30",-2.325,101.218
"19","16",-1.521,100.628
"20","16",-1.194,100.588
"21","26",-2.278,101.031
"22","13",-2.345,101.122
"23","27",-1.368,100.757
"24","18",-1.669,100.988
"25","29",-1.693,101.067
"26","20",-2.143,100.890
"27","23",-2.381,100.988
"28","17",-1.968,100.906
"29","21",-1.269,100.744
"30","12",-1.515,100.662
"31","29",-1.306,100.547
"32","11",-1.395,100.855
"33","22",-1.138,100.727
"34","27",-1.359,100.885
"35","15",-2.316,100.986
"36","19",-2.221,101.191
"37","19",-1.724,100.731
"38","30",-2.073,101.190
"39","27",-1.895,100.966
"40","23",-1.609,100.936
"41","22",-1.862,101.058
"42","22",-1.143,100.470
"43","16",-2.072,100.966
"44","27",-1.541,100.908
"45","24",-1.069,100.512
"46","22",-1.675,100.824
"47","18",-2.234,101.129
"48","10",-1.780,101.000
"49","22",-2.301,100.913
"50","11",-1.714,101.043
"51","20",-1.497,100.732
"52","23",-1.806,101.013
"53","19",-1.951,100.920
"54","28",-1.990,101.125
"55","22",-2.381,101.026
"56","30",-1.128,100.472
"57","20",-1.521,100.652
"58","11",-1.943,101.040
"59","19",-1.288,100.702
"60","28",-1.201,100.711
"61","11",-2.457,101.019
"62","16",-1.574,100.863
"63","25",-1.887,100.966
"64","30",-2.033,101.002
"65","22",-2.131,101.154
"66","19",-1.806,100.846
"67","15",-1.265,100.547
"68","18",-1.871,101.041
"69","26",-1.992,101.124
"70","14",-1.919,101.039
"71","10",-2.197,101.240
"72","11",-2.243,101.235
"73","11",-1.749,101.124
"74","19",-1.175,100.630
"75","12",-2.157,100.856
"76","11",-1.394,100.683
"77","18",-1.236,100.782
"78","14",-2.189,101.096
"79","20",-1.247,100.608
"80","30",-2.273,100.994
"81","10",-1.973,101.112
"82","14",-2.330,101.069
"83","10",-2.225,101.046
"84","28",-1.358,100.765
"85","11",-1.671,101.062
"86","28",-1.437,100.853
"87","10",-1.304,100.694
"88","17",-1.680,100.907
"89","25",-2.355,101.042
"90","16",-1.220,100.616
"91","27",-1.624,100.881
"92","15",-1.952,100.889
"93","22",-1.290,100.791
"94","16",-1.191,100.487
"95","24",-1.084,100.562
"96","13",-1.336,100.751
"97","25",-1.654,100.745
"98","11",-1.961,100.873
"99","24",-1.334,100.580
"100","27",-2.202,101.154
"101","29",-2.120,100.979
"102","26",-1.998,100.995
"103","11",-1.194,100.436
"104","27",-2.358,101.157
"105","20",-1.188,100.715
"106","21",-2.226,100.969
"107","27",-1.571,100.832
"108","12",-2.128,101.134
"109","10",-1.278,100.706
"110","21",-2.295,101.034
"111","24",-2.135,100.898
"112","16",-1.126,100.674
"113","25",-2.212,100.885
"114","14",-1.223,100.478
"115","20",-2.171,100.919
"116","18",-1.407,100.643
"117","10",-1.126,100.583
"118","22",-1.584,100.721
"119","17",-1.728,101.022
