ID,ID2,KabKot, Long ,Lat,Y,X1,X2,X3,X4,X5
1,56,Agam,100.03,-0.31,13500,5577,61991.33333,2209,5070.739142,18218
7,133,Bangka Barat,105.16,-2.07,10600,4645.333333,30579.66667,562,1799.51219,13221
8,135,Bangka Selatan,106.45,-3.01,10000,4645.333333,30579.66667,562,1772.736169,8165
22,132,Belitung,107.65,-2.75,10300,4645.333333,30579.66667,562,1602.72996,8738
23,136,Belitung Timur,108.29,-2.85,11000,4645.333333,30579.66667,562,1093.976953,7152
25,111,Bengkulu Utara,102.12,-3.38,12000,4494.75,7562.333333,1228.79,2548.625051,6961
68,138,Karimun,103.43,0.99,13000,5654.785714,61991.33333,1193,1805.465979,11621
74,116,Kepahiang,102.58,-3.65,10500,4494.75,7562.333333,1228.79,1198.341034,3639
76,81,Kerinci,101.35,-1.96,10000,4577,11480,1931.97,1871.923087,9015
84,129,Kota Bandar Lampung,105.27,-5.41,10400,4645.333333,50167.66667,4213.78,7763.657642,50834
90,117,Kota Bengkulu,102.25,-3.79,10690.25,4500,7562.333333,1228.79,3090.680675,19245
95,66,Kota Bukittinggi,100.39,-0.31,13500,5654.785714,61991.33333,2209,1315.573693,7453
112,62,Kota Padang,100.36,-0.95,12112.5,5562.5,61991.33333,2209,9651.302614,53883
113,107,Kota Pagaralam,103.18,-4.03,10500,4645.1,30579.66667,3793.2,1138.623051,2545
116,68,Kota Pariaman,100.12,-0.63,13000,5654.785714,61991.33333,2209,903.8767621,4387
118,67,Kota Payahkumbuh,100.63,-0.22,13125,5654.785714,61991.33333,2209,1369.264121,5761
120,79,Kota Pekanbaru,101.44,0.51,13499,5654.785714,61991.33333,2848.74,8576.212772,101344
121,105,Kota Palembang,104.78,-3.03,10800,5100,30579.66667,3793.2,13632.84956,130416
123,64,Kota Sawahlunto,100.78,-0.69,12625,5654.785714,61991.33333,2209,641.1206629,3235
125,63,Kota Solok,100.66,-0.79,13500,5654.785714,61991.33333,2209,710.0005235,3548
128,65,Kota Padangpanjang,100.4,-0.46,13812.5,5654.785714,61991.33333,2209,545.4483297,3029
139,69,Kuantan Sengingi,101.57,-0.53,13875,5654.785714,61991.33333,2848.74,2605.357147,29517
146,118,Lampung Barat,104.08,-5.01,10000,4300,50167.66667,4213.78,2346.71047,6151
147,115,Lebong,102.2,-3.12,9375,4494.75,7562.333333,1228.79,973.9742965,2854
148,140,Lingga,104.62,-0.21,12000,5654.785714,61991.33333,1193,703.6932726,3672
164,113,Seluma,102.57,-4.08,10500,4500,7562.333333,1228.79,1674.477091,3841
165,114,Muko-Muko,101.14,-2.56,11300,5133.333333,7562.333333,1228.79,1558.177792,4327
167,141,Kep. Anambas,106.22,3.22,16000,5654.785714,61991.33333,1193,326.2212673,17258
170,101,Ogan Ilir,104.68,-3.25,10975,4916.666667,30579.66667,3793.2,3505.678785,9514
171,93,Ogan Komering Ilir (OKI),104.82,-3,10000,4645.1,30579.66667,3793.2,6780.107259,25196
172,100,OKU Timur,104.36,-4.31,9812.5,4700,30579.66667,3793.2,5534.929149,12743
185,51,Pesisir Selatan,100.58,-1.35,13000,5700,61991.33333,2209,4786.99209,12522
195,110,Rejang Lebong,102.53,-3.47,10625,4494.75,7562.333333,1228.79,2337.627005,7936
197,77,Rokan Hilir,100.81,2.14,13500,5654.785714,61991.33333,2848.74,5426.822865,74552
211,52,Solok,100.64,-0.91,11500,6672.75,61991.33333,2209,3862.86275,11949
228,54,Tanah Datar,100.58,-0.47,13000,6375,61991.33333,2209,3646.62429,11620
231,86,Tanjab Timur,103.8,-1.24,11375,4208.5,11480,1931.97,1719.376836,21041
243,127,Mesuji,105.66,-4.15,9000,4800,50167.66667,4213.78,1570.049739,8957
256,31,Dairi,98.3,2.76,11500,5000,58464.33333,4238.7,2764.393048,8045
257,32,Karo,98.49,3.1,12100,5325,58464.33333,4238.7,3907.033798,18061
