Titik,X1,X2
1,17,41
2,12,37
3,19,38
4,19,30
5,12,69
6,16,56
7,11,41
8,20,60
9,13,46
10,18,55
11,10,62
12,19,47
13,19,62
14,17,58
15,17,49
16,13,60
17,20,57
18,10,44
19,13,31
20,20,56
21,17,62
22,13,36
23,17,34
24,16,63
25,18,67
26,10,45
27,14,52
28,12,70
29,13,70
30,19,70
31,16,43
32,11,66
33,17,70
34,16,34
35,18,58
36,20,56
37,16,45
38,14,32
39,10,67
40,12,43
41,15,47
42,16,49
43,15,41
44,14,51
45,15,32
46,18,67
47,20,34
48,15,37
49,14,64
50,20,65
